SL,title,company,location,salary,summary
23,Software Engineer,Smarkets,"Los Angeles, CA",,"The Smarkets platform is used by tens of thousands daily through the app, website or REST API.
We are continuously developing new features for these platforms,…"
24,Software Engineer,"Wheels Labs, Inc.","Los Angeles, CA",,"On a typical day, you’ll be working alongside a group of engineers, designers, and PMs with experience from top companies.
Familiarity with AWS is a plus."
25,Full Stack Engineer,City National Bank,"Los Angeles, CA",,"Net, Java, Python and full stack coding capability.
This role will need to effectively communicate, collaborate, and influence engineering and business team…"
26,Software Development Project Manager Intern,Dominieren Corporation,"West Hollywood, CA",,"At this time, employees and interns of Dominieren Corporation will spend significant time working for some of the enterprises we are in the process of launching…"
27,"Full Stack Developer - ""Opportunity for working remotely"" Lo...",VMware Engineering,"Los Angeles, CA",,"4+ years as a developer and 1+ years of experience building cloud or full-stack solutions and/or microservices.
Experienced in AWS / Azure public clouds."
28,"Software Engineer, Full Stack, 1+ Years Experience - Los Ang...",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"Contribute to Snap’s engineering culture by working on shared libraries and systems.
Design new and optimize existing systems and participate in design reviews."
29,Software Test Engineer,"TrueCar, Inc.","Santa Monica, CA",,"Employees enjoy excellent benefits (health/vision/dental coverage, 401k with contribution matching, equity, etc.).
Effectively use available monitoring tools."
30,BI Analyst/Developer,Crown Media Family Networks,"Studio City, CA 91604",,The Business Intelligence Analyst is responsible for developing and implementing Business Intelligence solutions for the organization.
31,Automation Controls Engineer,Plenty,"Los Angeles, CA",,"In this role, you will work closely with the internal automation team and outside integrators to drive farm automation controls architecture, define company…"
32,Software Engineer Intern,NortonLifeLock,"Culver City, CA",,"The NortonLifeLock backup team is part of the Norton Cloud Services team, and is seeking talented interns to help move off our legacy platform and develop a new…"
33,Flight Software Test Developer,Red Canyon Engineering & Software,"Los Angeles, CA",,Work with FSW developers and systems engineers to design/discuss test approaches that would satisfy system level and FSW component level requirements.
34,Linux Embedded Software Developer,Mojix,"Los Angeles, CA",,"Support developers in improving their own verification and validation.
QA Software Engineer with 2-3 years experience in creating test plans for software,…"
35,Web Developer,The sulfur group,"Los Angeles, CA",,Our team is seeking talented Web Developer who can support the creative team through all phases of the creative process on current work and new business…
36,UI Developer,Jam City,"Culver City, CA",,"Unlimited Vacation, Paid Sick Days & Holidays.
100% Employee Covered Medical, Dental, Vision Plan Base Plan.
Catered Lunches & Well-stocked Kitchens."
37,Beyonders 2021 Summer Program - Software Engineer,Beyond Limits,"Glendale, CA",,"Participants will be embedded in our current full-time teams of designers, programmers, and developers to help conceive new concepts, solve real business issues…"
38,Full-Stack Software Developer (JS),Openpath Security Inc.,"Culver City, CA",,Develop software for cloud-based APIs/services/apps that manage core business data and power the rest of our office automation architecture.
39,Associate Online Engineer,"Operating Company INFINITY WARD, INC.","Woodland Hills, CA",,"The work will encompass all elements of multiplayer online games, including new and unique online features, security, infrastructure design, operations…"
40,Full Stack Web Developer,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,Works with other developers and engineers to implement improvements and maintain web interactive applications and content management systems.
41,Software Engineer (Leadership) - Infrastructure,Facebook,"Los Angeles, CA",,"The Software Engineering (Infrastructure) team builds large distributed components that run Facebook.
Our code serves millions of requests per second and it…"
42,Software Developer,"ENSCO, Inc.","Los Angeles, CA",,"Ability to obtain and maintain a security clearance.
ENSCO, Inc. is seeking a Software Developer to support the Department of Defense (DoD) Military Satellite…"
43,Software Engineer,NuORDER,"Los Angeles, CA",,"In this role, you will be working cross functionally with the product and engineering teams on a wide variety of projects that power NuORDER’s unique platform."
44,QA/Automation Engineer,Kinect,"El Segundo, CA",,"Pair with developers for code-review sessions and not hesitate to roll-up their sleeves and debug the code if needed.
2+ years of testing mobile applications."
45,Full Stack Developer,Hylink Group,"Los Angeles, CA",,"As a Full-Stack Web Developer, you will design, architect, and build our platform focused on algorithm stock trading.
Familiar with Docker, LAMP or MEAN stack."
46,IT Full Stack Developer,SoFi Stadium and Hollywood Park,"Los Angeles, CA",,"5+ years of experience developing web and mobile applications as a full stack developer.
SoFi Stadium and Hollywood Park is seeking a full stack developer…"
47,Software Developer,"Tecolote Research, Inc.","El Segundo, CA",,U.S. Citizenship - Active Secret clearance is preferred and Top Secret/Sensitive Compartmented Information (TS/SCI) with DCID 6/4 Eligibility security clearance…
48,Machine learning engineer,BusinesStaff,"Los Angeles, CA",,"Experience in python and machine learning libraries (cikit-learn, tensorflow, keras).
Machine Learning engineers are involved in data extraction, developing…"
49,Sr Software Development Engineer in Test,TeleSign,"Los Angeles, CA",,We are looking for a detailed oriented Senior Software Development Engineer in Test (SDET) who will establish best practices for improving the quality of…
50,Software Co-op Internships,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"You can be part of JPL’s Cooperative Educational Internship program, which provides students a full-time internship opportunity by taking a leave of absence for…"
51,Software Engineer,TeleSign,"Los Angeles, CA",,"The Software Engineer will analyze, design, develop and implement a suite of APIs which are used by millions of consumers on a daily basis under the supervision…"
52,Associate Software Engineer,Jam City,"Culver City, CA",,"Unlimited Vacation, Paid Sick Days & Holidays.
100% Employee Covered Medical, Dental, Vision Plan Base Plan.
Catered Lunches & Well-stocked Kitchens."
53,R2010622 Intern - IT Application Development - Member of Tec...,VMware,"Los Angeles, CA",,"As an intern in the VMware Commerce and Finance Engineering Group, you will support VMware R&D functions with platforms and systems capabilities."
54,Lead Developer (eCommerce),J2 Cloud Services,"Los Angeles, CA",,"Responsible for training and mentoring developers on the team and recommending actions around hiring, firing and promotions."
55,Sensor Software Internship - Autonomous Driving,"TuSimple, Inc.","Los Angeles, CA",,"You'll be closely working with our R&D team to develop sensor system solutions for autonomous vehicles.
Design and develop software systems and internal tools…"
56,"Manager, Technical Solutions Development",Netflix,"Los Angeles, CA",,"8-9 years of experience in full-stack development and familiar with Python, React, Nodejs, and Java including 4+ years of proven hands-on management experience…"
57,Senior Machine Learning Engineer,PlayQ,"Santa Monica, CA",,PlayQ is looking for a highly motivated and skilled Senior Machine Learning Engineer to help us unlock the full potential of our data science capabilities.
58,Audio Firmware Engineer,Apple,"Culver City, CA",,"The Interactive Media Group (IMG) is at the center of audio, video and graphics support in Apple’s innovative products, including the AirPods, HomePod, Mac,…"
59,Software Engineer,Elementary Robotics,"Los Angeles, CA",,"Work primarily in Python using Atom, our open-source robotics SDK, to develop well-engineered, unit-tested microservices that power our robots."
60,Senior Software Development Engineer,Capital Group,"Los Angeles, CA 90071 (Downtown area)",,"Experience and ability to write legible, high-quality, resource-efficient, and performant code in JavaScript, typescript, python and SQL."
61,Back-End Engineer,BYTE ORBIT,"Century City, CA",,"We are looking for dynamic developers with 4–6 years of coding experience.
Our developers work closely with test engineers and product owners to reproduce and…"
62,Senior Splunk Developer (remote OK),Splunk,"Los Angeles, CA",,"Much of what we create for Splunk is also shared with customers via Github, SplunkBase, conferences, and EBC meetings."
63,Application Development Analyst,Prologix Solutions,"Los Angeles, CA",,"As a Application Development Analyst, you will serve as liaison between IT and various business units to coordinate the onboarding of data and the creation of…"
64,Systems Engineering - Summer 2021 Interns (Cyber),Raytheon Missiles & Defense,"Fullerton, CA",,"The more than 2,100 employees provide requirements definition and design at the system, subsystem and component level every day in a collaborative environment…"
65,DevOps Consultant,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Design, implement, and manage DevOps capabilities in cloud offerings using CI/CD toolsets and automation.
Ensure DevOps systems we build are robust in the sense…"
66,Software Engineer - Funimation,"Sony Pictures Entertainment, Inc.","Culver City, CA 90232 (Washington Culver area)",,"We are looking for an intrepid problem-solver to dive into an ambiguous problem space and design and deliver innovative software solutions, and to collaborate…"
67,Full Stack Engineer,"Operating Company ACTIVISION PUBLISHING, INC","Sherman Oaks, CA",,"As a Full Stack Engineer, you will be responsible for building tools and reporting dashboards for the game security team."
68,Associate Firmware & Integration Engineer,Rivian Automotive,"Carson, CA",,"The well qualified candidate will be responsible for the specification, design, implementation and testing of various embedded software components in support of…"
69,"Software Engineer III, Backend",Tinder,"Los Angeles, CA",,Our goal is to increase the development velocity by reducing bugs and unneeded friction around development and onboarding as well as provide tools and…
70,Software Development Manager,Amazon.com Services LLC,"Culver City, CA",,"7+ years of relevant engineering experience.
3+ years of people management experience, managing engineers.
Experience serving as technical manager throughout…"
71,"Embedded Engineer, Devices",Amazon.com Services LLC,"Hawthorne, CA",,"5+ years of development experience in C or C++, and familiarity with SoC or embedded CPUs.
5+ years of experience with driver development, Linux system…"
72,Backend Software Engineer IV,Dollar Shave Club,"Marina del Rey, CA 90292",,"A generous mentor: you enjoy teaching and coaching others, especially those who are less experienced or less knowledgeable than you."
73,"Animation Studios - Simulation Software Intern, Summer 2021",Walt Disney Animation Studios,"Burbank, CA",,"As a Walt Disney Animation Studios Technology Intern, you will have the unique opportunity to work directly with a Disney mentor as you explore all aspects of…"
74,Numerical Analyst and Software Developer,Photo-Sonics,"Chatsworth, CA 91311",,"Photo-Sonics is looking for a Numerical Analyst to perform design studies, numerical analyses, and algorithmic.
Software packages such as Trackeye."
75,Software Engineer - Facebook Connectivity,Facebook,"Northridge, CA",,Facebook is looking for software engineers to help develop state of the art communication systems to deliver internet access.
76,Software Development Engineer in Test,Meredith Corporation,"Los Angeles, CA",,"With over 25 million surveys collected annually from thousands of retailers worldwide, Bizrate Insights is one of the largest sources of verified customer…"
77,Frontend Engineer,ChowNow,"Los Angeles, CA (Playa Vista area)",,"If so, keep reading; this might be the product development environment you have been searching for.
We use SASS and CSS modules when styling our components, and…"
78,Web Browser Developer,System1,"Venice, CA",,Familiarity with several programming languages (ideally vanilla JavaScript and python - but familiarity with C/C++ concepts is a big plus).
79,Senior Full Stack Web Developer,Absolute Web Services,"Los Angeles, CA",,"The Senior Full Stack Developers will be required to see out a project from conception to final product, requiring good organizational skills, attention to…"
80,Product Support Engineer,mPulse Mobile,"Encino, CA 91436",,"Support Decision Making at All Levels.
Create Value for Clients by Empowering Consumers.
Improve Customer Experience Through Simple Design."
81,Devops Engineer,Ria Financial,"Buena Park, CA",,"The DevOps Engineer will design and implement modern solutions to solve complex problems.
A bachelor’s degree in computer science or related field."
82,Full Stack Engineer,Capital Group,"Los Angeles, CA 90071 (Downtown area)",,"Your company-funded retirement contribution will be the equivalent of 15% of your annual pay (including bonuses).
Knowledge of data stores, SQL and NoSQL."
83,Full Stack Developer,MGM Studios Inc,"Culver City, CA 90230",,"5+ years of experience developing web and mobile applications as a full stack developer.
Metro-Goldwyn-Mayer Studios Inc. (""MGM"") is seeking an experienced Full…"
84,Gameplay Engineer,Hello Team Solar,"Los Angeles, CA",,"The candidate will work closely with the game director and team members to prototype and design game-play.
Ideal Candidate can integrate maps, design game-play,…"
85,Software Engineer,System1,"Venice, CA",,"The ideal candidate is a team player who can design and execute simple and elegant solutions to big problems around large datasets and distributed systems,…"
86,Software Engineer - Routing and Data Path,Facebook,"Northridge, CA",,"The Wireless Platforms and Protocols team is responsible for the operating system, embedded services and firmware for existing and upcoming connectivity boards …"
87,Principal Threat Researcher (Opportunity for Remote) Los Ang...,Carbon Black,"Los Angeles, CA",,"This is a senior level position in Cyber Security, targeted toward individuals with more than 5 years of experience specific experience."
88,"Software Engineer, Platform",Fender,"Los Angeles, CA",,"Design, develop, and maintain Platform APIs that support our web and mobile client applications.
Collaborate on and maintain team coding standards and…"
89,Software Development Engineer,Amazon.com Services LLC,"Santa Monica, CA",,"2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…"
90,Software engineer,SDL plc,"Los Angeles, CA",,"Your ability to learn and understand the challenges of building products from the ground level-up will be put to the test as you implement high-level, high…"
91,Software Engineer,Teruko Weinberg,"Los Angeles County, CA",,"Develop and Design RPA solution.
Develop and Design any applications with programming.
Test and Deploy RPA and any applications on customers site."
92,Specialist Software Engineer,AT&T,"El Segundo, CA 90245",,"At this point we serve as Tier 1 and 2 support for the non-production environments, triaging, identifying the root cause, troubleshooting and fixing incidents…"
93,Embedded Linux Software Specialist,Rivian Automotive,"Carson, CA",,"The well qualified candidate will be responsible for the specification, design, implementation and testing of various embedded software components in support of…"
94,Sr Software Engineer II,Raytheon Intelligence & Space,"El Segundo, CA",,"The sites include El Segundo, Goleta (CA), McKinney (TX), Forest (MS) and Largo (FL), in addition to operations and automation engineers from other Raytheon…"
95,Back End Software Engineer 2,Intuit,"Woodland Hills, CA 91365",,"BS/MS in Computer Science or related area or equivalent experience.
2+ years of experience developing systems/software for large business environments (Java…"
96,Senior Machine Learning Engineer,Netflix,"Los Angeles, CA",,"""Product"" orientation, with high priority placed on the developer experience.
Arming our creative teams with data-driven insights improves both the efficiency…"
97,R&D Software Engineer,UtopiaCompression Corporation,"Los Angeles, CA 90064 (West Los Angeles area)",,"We are seeking a strong C++ and Python R&D Engineer to support research and product development in multiple areas, including computer vision, machine learning,…"
98,QA Automation Software Engineer,"Sidecar Health, Inc","El Segundo, CA","$120,000 a year","Pair with developers for code-review sessions and not hesitate to roll-up their sleeves and debug the code if needed.
2+ years of testing mobile applications."
99,Software Engineer (Ground Operations),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"As a Software Engineer on the Ground Software Operations team, you will develop, analyze and verify the mission critical software used to control and monitor…"
100,Machine Learning Engineer 4,"TrueCar, Inc.","Santa Monica, CA",,"Employees enjoy excellent benefits (health/vision/dental coverage, 401k with contribution matching, equity, etc.).
Hadoop/Spark and AWS experience."
101,Solutions Engineer II,Capital Group,"Los Angeles, CA 90025 (West Los Angeles area)",,"Travel required: a. Up to 25%.
Your company-funded retirement contribution will be the equivalent of 15% of your annual pay (including bonuses)."
102,Sr. Software Engineer (Python),Moog Inc.,"Torrance, CA 90501",,"In this role, you will develop software for automated test stands to test flight-critical actuation systems.
We specialize in Primary Flight Control, Secondary…"
103,Software Engineer (Starlink Test),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Test code for the software systems that control our hardware and run the network.
Invent new tools that enable more frequent and reliable software deployment,…"
104,Senior Software Engineer - Tech Lead,AuditBoard,"El Segundo, CA",,In this role you will be responsible for leading a team of Engineers and tackling challenges ranging from new feature development to building scalable systems.
105,Software Engineer/Full Stack Developer,OceanX,"El Segundo, CA 90245",,"Provide code reviews for fellow web developers.
The full stack engineer must be a highly skilled web developer to build and maintain our client facing web…"
106,Software Engineer- Java Full Stack,CEO Foundry,"Los Angeles, CA",,"Job Description: Apply industry best practices and techniques to design, develop, test, deploy, support and maintain complex Java applications based on business…"
107,Senior CyberArk Engineer,Kinect,"Woodland Hills, CA",,"In addition to having strong technical skills, you must be comfortable in effectively communicating with business end users, technical IT teams, business…"
108,Full Stack Engineer,Center For Policing Equity,"Los Angeles, CA",,The Center for Policing Equity is looking for a skilled Full Stack Engineer with a passion for social justice issues and racial equity.
109,DevOps Engineer,Sincro,"Los Angeles, CA",,We offer our customers cutting-edge solutions powered by AI that increase connections with car shoppers to drive sales and customer loyalty.
110,"2021 Summer Internship - IT: Computer Science, Computer Engi...",Southern California Edison,"Alhambra, CA 91802",,"Perform power system network modelling under supervision of engineering staff.
Project/maintenance related simple request which requires programming skills."
111,Senior Software Engineer,Zest AI,"Burbank, CA",,"Mentor and collaborate with other Software Engineers and Data Scientists to deliver high-quality code, code reviews.
People – the best part of Zest!"
112,DevOps Engineers,Apica,"Santa Monica, CA 90401 (Downtown/Third Street Promenade area)",,"Furthermore you have a developers mindset and are fluent in at least one programming language, we write most of our code in Python."
113,"Senior Software Engineer, Backend",Aspiration Partners,"Los Angeles, CA",,"We’re looking for experienced backend engineers to speed our development of high performance, secure financial services technology."
114,Software Engineer - Hair/Cloth Toolset,Walt Disney Animation Studios,"Burbank, CA",,"The developer filling this role would use a variety of techniques including new simulation algorithms, applied research, high performance parallel computation,…"
115,"Senior Software Engineer, Services","Magic Leap, Inc.","Culver City, CA",,"You will work closely with our Software group to identify product requirements, as well as implementing deployable systems that serve our enterprise customer…"
116,Software Engineering Intern,NortonLifeLock,"Culver City, CA",,"We build products which service the entire SDLC.
These include build tools, code review workflows, CI/CD pipelines, performance tools/ metrics, open source…"
117,"Sr. Developer, HR Solutions",Warner Bros. Entertainment Group,"Burbank, CA",,"Net/SQL based Bottom-Line check printing application, and custom applications built using python and JavaScript (AWS hosted)."
118,"DevOps Consultant, CloudOps",Burwood Group,"Los Angeles, CA",,"Our clients view Burwood as a trusted advisor and partner who can help them select the best technology for the job, manage and execute a first-rate…"
119,Unreal Engine Technical Director,The Third Floor,"Los Angeles, CA 90036",,"The Third Floor is looking for an Unreal Engine TD for an immersive experience project using the Unreal Game Engine.
Inside out knowledge of Unreal."
120,Lead Full Stack Developer,Virgin Hyperloop,"Los Angeles, CA",,The Lead Full Stack Developer will be part of the Analysis Tools Development (ATD) Team under the Machine Intelligence & Analytics (MI&A) Department.
121,Software Design Engineer - Test Equipment,Moog Inc.,"Torrance, CA 90501",,"Moog is looking for a Software Design Engineer to develop Python software for factory test equipment.
The test equipment falls into two categories: electronics…"
122,"Senior Software Engineer, Serv",Pluto TV,"Hollywood, CA",,"Critical DevOps engineering role for the Pluto TV Team with responsibilities for system and server management, database management, configuration management,…"
123,Gameplay Programmer,Pure Imagination Studios,"Van Nuys, CA",,Guide artists and Blueprint developers to create work that adheres to the design of game systems while maintaining good style and optimization standards.
124,Software Engineer - Sr Principal (Space/Satellite) (Top Secr...,Northrop Grumman,"Pasadena, CA",,"Perform as a Python code developer for a classified government contract.
This includes systems engineering, spacecraft design and analysis, manufacturing,…"
125,Sensor Test Automation Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Responsible for the development and execution of software and, when needed, hardware solutions that automate testing strategies for physical sensors, such as…"
126,Senior Software Developer – Engineering consultant,Syncroness,"Los Angeles, CA",,"Syncroness provides inspired solutions to highly complex business and technical problems.
Bachelor+ degree from an accredited college with 5 or more years of…"
127,Software Engineer: Blockchain,SFOX,"Los Angeles, CA",,"You will work on making it easy to use blockchains, secure our systems and improve our key management systems.
Masters degree is a plus."
128,Back-End Web Developer (Machine Learning),Hylink Group,"Los Angeles, CA",,"Proficient in HTML/HTML5, CSS, SCSS, JavaScript, PHP, Nodejs, python.
You’ll take on complex tasks and transform them into intuitive, accessible and easy-to-use…"
129,Software Engineer 2 - Front End,Intuit,"Woodland Hills, CA 91365",,"BS/MS in Computer Science or equivalent work experience.
3-5 years of experience developing web applications and web services.
Roughly 80-95% hands-on coding."
130,Software Development Engineer II - Prime Video,Amazon.com Services LLC,"Santa Monica, CA",,"I am a development manager in Prime Video and am looking for strong developers who want an opportunity for growth building high speed data delivery systems, and…"
131,Full Stack Developer,Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"Collaboration with designers and developers to architect enterprise-level design systems.
We design, develop and maintain the scientific technical,…"
132,Senior Software Engineer-Backend,The Black Tux,"Santa Monica, CA",,"Build and improve software systems for a fast-growing, disruptive e-commerce company.
Design, develop and optimize scalable backend infrastructure to support…"
133,Full-Stack Engineer,Fama Technologies,"Playa Vista, CA",,"You’ll be working alongside other engineers and developers, collaborating on the various layers of the infrastructure for our applications."
134,Pro Workflow Application Engineer - iOS,Apple,"Culver City, CA",,"Apple’s Pro Workflow team (part of the hardware division) is seeking an experienced iOS/iPadOS developer to join a small team designing, prototyping and…"
135,EMBEDDED FIRMWARE ENGINEER,Zigen,"Lake Balboa, CA",,"Experience with Embedded Linux and python preferred.
Developing embedded software for high quality embedded consumer and commercial products in video and audio…"
136,Senior Software Engineer (Backend),Motional,"Santa Monica, CA",,"We provide essential tools and frameworks to support the entire lifecycle of machine learning, from data processing, large scale training and evaluation…"
137,AI Engineer,"Operating Company INFINITY WARD, INC.","Woodland Hills, CA",,"The ideal candidate will have two or more years of experience in a similar role.
Work closely with the design and content teams to bring new AI characters and…"
138,Software Engineer,"Eyenuk, Inc.","Los Angeles, CA 91367",,"Thrives on freedom with great responsibility, to develop a deep understanding of the domain.
Uses skills, experience and knowledge to build amazing software,…"
139,Electronic Test Engineer for NASA,"INNOVIM, LLC","Pasadena, CA",,"The hardware development team designs, procures, and tests the test equipment hardware working in conjunction with the test equipment software developers and…"
140,Analytics Automation Engineer,CBS Interactive,"Burbank, CA 91506",,"JOB TYPE: Full-Time Staff.
Follow CBS Interactive on Twitter and Facebook.
Business, product, and operational decisions by providing rich data, strategic…"
141,Full Stack Developer II,Niagara Bottling,"Diamond Bar, CA 91765",,"The developer will also work team members spread across the technology stack, which includes middleware/EDI, database, ERP, analytics and business intelligence …"
142,Avionics Operations & Automation Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"This group is dedicated to enabling engineers to focus on development by creating software that can rapidly and reliably configure, evaluate, and launch our…"
143,"Senior Software Engineer, Serv",Viacom,"Hollywood, CA",,"Critical DevOps engineering role for the Pluto TV Team with responsibilities for system and server management, database management, configuration management,…"
144,Back End Staff Software Engineer,Intuit,"Woodland Hills, CA 91365",,"BS/MS in Computer Science or related area or equivalent experience.
10+ years of experience developing systems/software for large business environments (Java…"
145,Senior Software Engineer - Container Fabric Team (Open to Re...,New Relic,"Los Angeles, CA",,"We work closely as a team, focusing on one project at a time, and conducting (internal) customer interviews to build rapport and improve code quality."
146,Sr Full Stack Software Engineer,Warner Bros. Entertainment Group,"Burbank, CA",,Work with internal and external developers to ensure WM Technology code standards and best practices are performed for development of applications.
147,"Software Engineer, Backend, 3+ Years Experience - Los Angele...",Snapchat,"Los Angeles, CA 90291 (Venice area)",,"Work across teams to understand product requirements, evaluate trade-offs, and deliver the solutions needed to build innovative products."
148,"Software Engineer, SRE",Doximity,"Los Angeles, CA",,"You are knowledgeable of memory and CPU profiling tools to help adjust Ruby jobs and processes to use resources effectively.
Participate in an on-call rotation."
149,"Senior Software Engineer, Full Stack (SEO)",Edmunds.com,"Santa Monica, CA 90404",,"Our team’s mission is to use as many means as possible to lift our organic rankings.
As a full stack engineer on the team, you will be responsible for…"
150,"Senior Software Engineer, Studio Infrastructure Operations",Netflix,"Los Angeles, CA",,"Work with Animation and VFX teams to support their productions and identify inefficiencies and improvements.
Review emerging technologies and evaluate potential…"
151,Software Engineer (Vehicle Operations),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,You will partner cross-functionally to ensure software is configured to each mission's specifications and needs.
152,Associate Full Stack Engineer,"Operating Company ACTIVISION PUBLISHING, INC","Sherman Oaks, CA",,"As an Associate Full Stack Engineer, you will be responsible for building tools and reporting dashboards for the game security team."
153,Test Automation Engineer (Dragon Spacecraft),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"TEST AUTOMATION ENGINEER (DRAGON SPACECRAFT).
Within the Dragon Components & Subassembly engineering team, Test Automation Engineers implement systems to…"
154,Software Development Engineer - Alexa AI,Amazon.com Services LLC,"Manhattan Beach, CA",,"2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…"
155,Software Engineer Sr,"J. Paul Getty Trust, The","Los Angeles, CA 90049 (Brentwood area)",,"Perform code reviews and provide feedback to peer developers.
You will also be responsible for collaborating, mentoring, and sharing expertise with a talented…"
156,Software Test Engineer,ThinKom Solutions Inc,"Hawthorne, CA 90250",,"This position is focused on the system level integration, verification and validation (IVV) of antennas, antenna feeds, mobile antenna systems and related…"
157,Full Stack Software Engineer,Slalom Consulting,"Los Angeles, CA",,"Technologies: AWS, CI/CD Pipelines, Java, JavaScript, Python, React, Node, Cloud Formation, Terraform, Ansible, Jenkins, Kubernetes, Docker, API Development,…"
158,Senior Software Engineer,Endpoint Closing,"El Segundo, CA",,"Experience and solid understanding of various software engineering practices.
Experience translating software requirements and experience with software design…"
159,Software QA Engineer,Moog Inc.,"Torrance, CA 90501",,"Moog designs, manufactures and integrates precision motion control components and systems.
In accordance with DO-178C guidelines, verify flight critical…"
