,name,cat_in,street,business_city,address_locality,address_region,telephone
92,52 Riverside Dr Corp,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",52 Riverside Dr,"Upper West Side
New York,
            NY",New York,NY,(212) 877-0361
93,Edison Properties LLC,"Offices of Real Estate Agents and Brokers in Clinton, New York",645 W 44th St,"Clinton
New York,
            NY",New York,NY,(212) 582-2615
94,ID Real Estate Partners LLC,"Offices of Real Estate Agents and Brokers in Garment District, New York",450 Fashion Ave Ste 2805,"Garment District
New York,
            NY",New York,NY,(212) 594-9440
95,Masom Property Management,"Offices of Real Estate Agents and Brokers in Financial District, New York",48 Wall St,"Financial District
New York,
            NY",New York,NY,(212) 509-1080
96,The Bentley,"Offices of Real Estate Agents and Brokers in Gramercy, New York",161 E 30Th St,"Gramercy
New York,
            NY",New York,NY,(212) 532-0373
97,Gotham Realty Holdings,"Real Estate Buyer Brokers in New York, NY",30 Broad St Ste 2502,"New York,
            NY",New York,NY,(212) 248-2217
98,SAFEGUARD REALTY MANAGEMENT INCORPORATED,"Offices of Real Estate Agents and Brokers in Financial District, New York",25 Broad St,"Financial District
New York,
            NY",New York,NY,(212) 217-9720
99,Mayflower Equities,"Real Estate Agents and Managers in Upper East Side, New York",245 e 87th St,"Upper East Side
New York,
            NY",New York,NY,(212) 427-1259
100,Worldwide Development Foundation Inc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",264 10Th Ave,"Chelsea
New York,
            NY",New York,NY,(212) 645-1328
101,H Y H CORPORATION,"Offices of Real Estate Agents and Brokers in New York, NY",255 e 49th St,"New York,
            NY",New York,NY,(212) 593-1771
102,Ryan Ronald,"Offices of Real Estate Agents and Brokers in New York, NY",250 S End Ave,"New York,
            NY",New York,NY,(212) 945-3153
103,Independent Brokers Alliance LLC,"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",112 4th Ave,"Greenwich Village
New York,
            NY",New York,NY,(212) 533-0100
104,Maloney Enterprises,"Offices of Real Estate Agents and Brokers in East Harlem, New York",229 E 120th St,"East Harlem
New York,
            NY",New York,NY,(212) 876-3847
105,Tranel Inc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",236 W 27th St,"Chelsea
New York,
            NY",New York,NY,(212) 675-5610
106,Columbus Properties Inc,"Offices of Real Estate Agents and Brokers in Financial District, New York",217 Broadway Lbby A,"Financial District
New York,
            NY",New York,NY,(212) 267-2654
107,3 Hanover Square Owners Corp,"Offices of Real Estate Agents and Brokers in Financial District, New York",3 Hanover Sq,"Financial District
New York,
            NY",New York,NY,(212) 425-0093
108,Davis Daniel E & Co Inc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",137 W 22Nd St,"Chelsea
New York,
            NY",New York,NY,(212) 645-2562
109,Balance Trading Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",12 E 80Th St,"Upper East Side
New York,
            NY",New York,NY,(212) 794-3210
110,Amie Cloutier,"Real Estate Agents and Managers in New York, NY",229 E 79Th St,"New York,
            NY",New York,NY,(212) 988-9519
111,Biju Realty,"Real Estate Consultants & Research Services in Upper West Side, New York",945 W End Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 666-4034
112,Kevin Carberry Licensed Real Estate Broker,"Offices of Real Estate Agents and Brokers in Brooklyn, NY",39 Columbia Pl,"Brooklyn,
            NY",Brooklyn,NY,(718) 875-0033
113,Dorothy Raymond Morehead Real Estate Broker,"Offices of Real Estate Agents and Brokers in Sunnyside, NY",4518 Skillman Ave,"Sunnyside,
            NY",Sunnyside,NY,(718) 784-8220
114,Winin Pawn Broker Inc,"Offices of Real Estate Agents and Brokers in Mott Haven, Bronx",345 E 149th St,"Mott Haven
Bronx,
            NY",Bronx,NY,(718) 292-2788
115,Ines Garcia Insurance Broker,"Insurance Agents, Brokers, and Service in Astoria, NY",4212 30th Ave,"Astoria,
            NY",Astoria,NY,(718) 204-5629
116,Empire Pawn Broker Inc,"Pawn Shops in Bedford-Stuyvesant, Brooklyn",799 Broadway,"Bedford-Stuyvesant
Brooklyn,
            NY",Brooklyn,NY,(718) 302-1808
117,Commercial Mortgage Broker,"Mortgage Brokers in Brooklyn, NY",195 Montague Street,"Brooklyn,
            NY",Brooklyn,NY,(516) 241-8276
118,Albert Einstein-Jack D Weiler Hospital,"Offices of Real Estate Agents and Brokers in Tremont, Bronx",1055 E Tremont Ave,"Tremont
Bronx,
            NY",Bronx,NY,(718) 920-4355
119,City of New York,"City & County Government in Mott Haven, Bronx",500 Grand Concourse,"Mott Haven
Bronx,
            NY",Bronx,NY,(212) 504-4080
120,Rxr Hb Owner llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",230 Park Ave,"Midtown
New York,
            NY",New York,NY,(212) 245-7023
121,Cgo 59th Street Owner,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",5 E 59th St,"Upper East Side
New York,
            NY",New York,NY,(212) 758-4085
122,The Next Step Realty,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",120 E 61st St,"Upper East Side
New York,
            NY",New York,NY,(646) 979-2300
123,Cha Realty llc,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",101 W 75th St,"Upper West Side
New York,
            NY",New York,NY,(212) 595-3080
124,Data Regus,"Offices of Real Estate Agents and Brokers in Midtown, New York",245 Park Ave,"Midtown
New York,
            NY",New York,NY,(212) 370-9577
125,Time Equities Inc. (Tei),"Offices of Real Estate Agents and Brokers in Greenwich Village, New York",55 5 Avenue 12 St E,"Greenwich Village
New York,
            NY",New York,NY,(212) 675-4809
126,Clinton Housing W,"Offices of Real Estate Agents and Brokers in Midtown, New York",300 W 46th St,"Midtown
New York,
            NY",New York,NY,(212) 245-6683
127,780 Gw Realty llc,"Offices of Real Estate Agents and Brokers in West Village, New York",780 Greenwich St,"West Village
New York,
            NY",New York,NY,(212) 255-7062
128,Abs Partners Real Estate,"Offices of Real Estate Agents and Brokers in Chelsea, New York",,"Chelsea
New York,
            NY",New York,NY,(646) 476-4029
129,Abs Partners Real Estate,"Offices of Real Estate Agents and Brokers in Gramercy, New York",915 Broadway,"Gramercy
New York,
            NY",New York,NY,(917) 409-2406
130,S Blair Partners Ltd,"Offices of Real Estate Agents and Brokers in Garment District, New York",130 W 42nd St Ste 811,"Garment District
New York,
            NY",New York,NY,(212) 829-5650
131,Samuro Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",138 E 61st St Ste 204,"Upper East Side
New York,
            NY",New York,NY,(212) 838-0670
132,Adams & CO Rl Est Inc Ofc,"Offices of Real Estate Agents and Brokers in Murray Hill, New York",411 5th Ave,"Murray Hill
New York,
            NY",New York,NY,(212) 679-5500
133,Abington Holding,"Offices of Real Estate Agents and Brokers in Midtown, New York",950 3rd Ave Ste 2700,"Midtown
New York,
            NY",New York,NY,(212) 759-5000
134,Cape Advisors,"Offices of Real Estate Agents and Brokers in Soho, New York",483 Broadway,"Soho
New York,
            NY",New York,NY,(212) 226-1870
135,Silverstein Properties Inc,"Offices of Real Estate Agents and Brokers in Financial District, New York",120 Broadway Ste 3663,"Financial District
New York,
            NY",New York,NY,(212) 732-1207
136,2324 Realty llc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",225 W 23rd St,"Chelsea
New York,
            NY",New York,NY,(212) 620-0867
137,Glenwood Management,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",350 E 79th St,"Upper East Side
New York,
            NY",New York,NY,(212) 249-9670
138,2655 Realty llc,"Offices of Real Estate Agents and Brokers in Harlem, New York",2655 Frederick Douglass Blvd,"Harlem
New York,
            NY",New York,NY,(212) 234-9040
139,Yoon Suh Kim and So,"Offices of Real Estate Agents and Brokers in Midtown, New York",11 E 44th St,"Midtown
New York,
            NY",New York,NY,(212) 286-8760
140,Rait Ft,"Offices of Real Estate Agents and Brokers in Midtown, New York",450 Park Ave,"Midtown
New York,
            NY",New York,NY,(917) 322-6900
141,Jw Realty CO,"Offices of Real Estate Agents and Brokers in Financial District, New York",132 Nassau St Lbby A,"Financial District
New York,
            NY",New York,NY,(212) 227-1144
142,Hines Interests,"Real Estate Developers & Developments in Midtown, New York",425 Lexington Ave,"Midtown
New York,
            NY",New York,NY,(212) 661-1920
143,319 E 73rd St Owner Corp,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",319 E 73rd St,"Upper East Side
New York,
            NY",New York,NY,(212) 452-4638
144,325 West End Ave Owners Inc,"Real Estate Agents and Managers in Upper West Side, New York",325 W End Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 877-9290
145,260 Park Ave S Condo,"Offices of Real Estate Agents and Brokers in Gramercy, New York",260 Park Ave S,"Gramercy
New York,
            NY",New York,NY,(212) 780-0030
146,61 W 23rd Street Assoc,"Offices of Real Estate Agents and Brokers in Chelsea, New York",61 W 23rd St,"Chelsea
New York,
            NY",New York,NY,(212) 929-4793
147,398 3rd Av Realty CO,"Offices of Real Estate Agents and Brokers in Gramercy, New York",398 3rd Ave,"Gramercy
New York,
            NY",New York,NY,(212) 686-6664
148,350 East 77th Street Corporation,"Offices of Real Estate Agents and Brokers in Upper East Side, New York",350 E 77th St,"Upper East Side
New York,
            NY",New York,NY,(212) 744-2809
149,Stahl Midtown Properties Inc,"Offices of Real Estate Agents and Brokers in Midtown, New York",422 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 308-9198
150,Rxr Po Owner llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",450 Lexington Ave,"Midtown
New York,
            NY",New York,NY,(212) 973-4500
151,The Condor Group,"Offices of Real Estate Agents and Brokers in Gramercy, New York",12 E 33rd St FL 6,"Gramercy
New York,
            NY",New York,NY,(646) 386-9330
152,Joss Realty Partners llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",520 Madison Ave FL 29,"Midtown
New York,
            NY",New York,NY,(212) 710-8912
153,Insignia Esg,"Offices of Real Estate Agents and Brokers in Chelsea, New York",111 8th Ave,"Chelsea
New York,
            NY",New York,NY,(212) 243-5060
154,The Rafal Markwat,"Offices of Real Estate Agents and Brokers in Gramercy, New York",24 E 21st St,"Gramercy
New York,
            NY",New York,NY,(212) 420-7013
155,Perlbinder Realty,"Offices of Real Estate Agents and Brokers in Midtown, New York",429 E 52nd St Lbby 2,"Midtown
New York,
            NY",New York,NY,(212) 355-4458
156,Edison Properties,"Real Estate Developers & Developments in Tribeca, New York",88 Leonard St Frnt A,"Tribeca
New York,
            NY",New York,NY,(212) 966-6710
157,Aj Clarke Real Estate,"Offices of Real Estate Agents and Brokers in Chelsea, New York",119 7th Ave,"Chelsea
New York,
            NY",New York,NY,(212) 645-5838
158,Noah Interior,"Offices of Real Estate Agents and Brokers in Garment District, New York",31 W 34th St,"Garment District
New York,
            NY",New York,NY,(212) 696-4011
159,48 St Nick llc,"Offices of Real Estate Agents and Brokers in Harlem, New York",48 Saint Nicholas Pl,"Harlem
New York,
            NY",New York,NY,(212) 690-0190
160,Mercator Corp,"Offices of Real Estate Agents and Brokers in Chelsea, New York",,"Chelsea
New York,
            NY",New York,NY,(212) 751-8066
161,25 W 39th St Realty llc,"Offices of Real Estate Agents and Brokers in Garment District, New York",25 W 39th St FL 2,"Garment District
New York,
            NY",New York,NY,(212) 302-3060
162,Rak Group llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",140 W 57th St,"Midtown
New York,
            NY",New York,NY,(212) 245-1601
163,Penmark Realty,"Offices of Real Estate Agents and Brokers in Midtown, New York",110 Central Park S,"Midtown
New York,
            NY",New York,NY,(212) 246-1246
164,Conex Incorporated,"Offices of Real Estate Agents and Brokers in Midtown, New York",575 Madison Ave,"Midtown
New York,
            NY",New York,NY,(212) 605-0267
165,400 East 55th Street Assoc,"Offices of Real Estate Agents and Brokers in North Sutton Area, New York",400 E 55th St,"North Sutton Area
New York,
            NY",New York,NY,(212) 308-2119
166,606 West 113th St Owners Corp,"Offices of Real Estate Agents and Brokers in Morningside Heights, New York",606 W 113th St,"Morningside Heights
New York,
            NY",New York,NY,(212) 531-3230
167,260 W 39th Street CO,"Offices of Real Estate Agents and Brokers in Garment District, New York",260 W 39th St,"Garment District
New York,
            NY",New York,NY,(212) 354-9291
168,255 West End Ave Owners Corp,"Offices of Real Estate Agents and Brokers in Upper West Side, New York",255 W End Ave,"Upper West Side
New York,
            NY",New York,NY,(212) 712-1609
169,135 William St Assoc llc,"Real Estate Consultants & Research Services in Financial District, New York",135 William St,"Financial District
New York,
            NY",New York,NY,(212) 349-1010
170,Citicore,"Offices of Real Estate Agents and Brokers in Garment District, New York",110 W 36th St,"Garment District
New York,
            NY",New York,NY,(917) 475-1536
171,Commercial Real Estate Search Team,"Offices of Real Estate Agents and Brokers in Garment District, New York",1270 Broadway,"Garment District
New York,
            NY",New York,NY,(212) 643-9932
172,Metro Loft Mngmnt llc,"Offices of Real Estate Agents and Brokers in Financial District, New York",20 Exchange Pl Apt 1100,"Financial District
New York,
            NY",New York,NY,(212) 422-0555
173,Downtown llc,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",105 Rivington St,"Lower East Side
New York,
            NY",New York,NY,(212) 254-0945
174,Metro Properties llc,"Offices of Real Estate Agents and Brokers in Yorkville, New York",1633 Lexington Ave Frnt 1,"Yorkville
New York,
            NY",New York,NY,(212) 722-0378
175,Conway Properties llc,"Offices of Real Estate Agents and Brokers in Midtown, New York",889 9th Ave FL 2,"Midtown
New York,
            NY",New York,NY,(212) 245-3400
176,East 16th Realty CO,"Offices of Real Estate Agents and Brokers in Gramercy, New York",114 E 16th St,"Gramercy
New York,
            NY",New York,NY,(212) 777-1019
177,Royal Realty Corp,"Offices of Real Estate Agents and Brokers in Midtown, New York",601 W 57th St,"Midtown
New York,
            NY",New York,NY,(212) 957-6300
178,Plymouth Management Group,"Offices of Real Estate Agents and Brokers in Midtown, New York",1776 Broadway Ste 1710,"Midtown
New York,
            NY",New York,NY,(212) 447-7000
179,Kee Yit Realty llc,"Offices of Real Estate Agents and Brokers in Lower East Side, New York",27 E Broadway,"Lower East Side
New York,
            NY",New York,NY,(212) 267-2742
180,172 Duane St Realty,"Offices of Real Estate Agents and Brokers in Tribeca, New York",172 Duane St,"Tribeca
New York,
            NY",New York,NY,(212) 431-0940
